Vmem,tun,Energy
0.0,0.047098574,1.62e-15
0.0,0.052652197,1.67e-15
0.0,0.058323572,1.72e-15
0.0,0.065664379,1.79e-15
0.0,0.076965359,1.89e-15
0.0,0.090033635,2.01e-15
0.0,0.11205328,2.23e-15
0.0,0.124955788,2.53e-15
0.0,0.129228656,3.01e-15
0.0,0.136607226,3.3e-15
0.0,0.14608208,3.55e-15
0.0,0.159872972,4.11e-15
0.0,0.174933763,5.01e-15
0.0,0.199376124,7.27e-15
0.0,0.217398352,9.65e-15
0.0,0.2319120024772584,1.207464108215985e-14
0.0,0.2322046346602842,1.2128476181856022e-14
0.0,0.2327990487163356,1.22384935541516e-14
0.0,0.2328762754428242,1.2252834075490971e-14
0.0,0.2332007471408249,1.2313315745278452e-14
0.0,0.2335717624428287,1.238272989750595e-14
0.0,0.2337702066273927,1.241999720224233e-14
0.0,0.2340320140109184,1.246912573325404e-14
0.0,0.2349632026414653,1.2645793111232912e-14
0.0,0.2355680868164981,1.2761914668609271e-14
0.0,0.2359512762045917,1.283569163278982e-14
0.0,0.236738355358078,1.2988182585916322e-14
0.0,0.237493898490501,1.31363667226844e-14
0.0,0.2380362356657895,1.32437086302877e-14
0.0,0.2381470434649925,1.326543566062901e-14
0.0,0.2387115946183182,1.3377760808930633e-14
0.0,0.2391576254472965,1.346710262222692e-14
0.0,0.2395116882080579,1.353837028586731e-14
0.0,0.2397292887922438,1.3582292768147562e-14
0.0,0.2397855329724477,1.359364958373566e-14
0.0,0.2398710658172774,1.3610996072109e-14
0.0,0.2400278139949236,1.364284813332132e-14
0.0,0.2400817157763214,1.365380352868143e-14
0.0,0.2402095545524272,1.367996231191264e-14
0.0,0.2402106779080218,1.368018051540006e-14
0.0,0.2402809441234254,1.3694338997821151e-14
0.0,0.2402830900389341,1.3694762066456691e-14
0.0,0.2403046515491254,1.369917704383299e-14
0.0,0.2403063566168087,1.3699583804960212e-14
0.0,0.2403206625197659,1.370244907198492e-14
0.0,0.2403319053334395,1.370475042555648e-14
0.0,0.240345078627879,1.370744481094254e-14
0.0,0.240347306720461,1.370791009013286e-14
0.0,0.2411836189847248,1.3879077221073552e-14
0.0,0.2412007481076316,1.388263641393638e-14
0.0,0.2412007633140152,1.38826430069921e-14
0.0,0.2412016270192347,1.388281368280345e-14
0.0,0.2412034294675672,1.3883180870238222e-14
0.0,0.2412061890603588,1.38837450050973e-14
0.0,0.241209930982264,1.3884511081187522e-14
0.0,0.2452678727336576,1.473447923705775e-14
0.0,0.2500828253541648,1.558467482214552e-14
0.0,0.255600572249821,1.6850097180621563e-14
0.0,0.2617422702687218,1.834352459057236e-14
0.0,0.2684169134576621,2.004866349494945e-14
0.0,0.2755639606186784,2.202110115376254e-14
0.0,0.28308519940998,2.4241119428666543e-14
0.0,0.2909103804373538,2.671519322888361e-14
0.0,0.2989643774032163,2.944857600691372e-14
0.0,0.3071936278533288,3.2439083116304e-14
0.0,0.3155635914202291,3.56846534701081e-14
0.0,0.3240363654290432,3.918224768220024e-14
0.0,0.3326034926106631,4.293326291532647e-14
0.0,0.3412602487541838,4.693549087818792e-14
0.0,0.3500145402863029,5.0627903641717887e-14
0.0,0.3588884007780649,5.544725848171815e-14
0.0,0.3678550944125714,6.019832489787668e-14
0.0,0.3769588594104239,6.529491626655859e-14
0.0,0.3861912990880685,7.079155917763586e-14
0.0,0.3956155203916827,7.66335408353855e-14
0.0,0.4050430803268033,8.274960317662852e-14
0.0,0.4145829100062152,8.919960775231418e-14
0.0,0.4244369607118694,9.612300857479981e-14
0.0,0.434297295726341,1.032918024483186e-13
0.0,0.4439727505471646,1.1054820942630621e-13
0.0,0.4544797930845095,1.186703191948188e-13
0.0,0.4652016121940137,1.271919410414329e-13
0.0,0.4755893975705816,1.357038637029e-13
0.0,0.4861038893839512,1.444479721445233e-13
0.0,0.4967158962169307,1.534015935894069e-13
0.0,0.5074116720888693,1.626788556549672e-13
0.0,0.5202286200033245,1.740454702521813e-13
0.0,0.5314156687436127,1.8403564751015834e-13
0.0,0.5427204314158369,1.94274723758206e-13
0.0,0.5513731308158144,2.0219749326969027e-13
0.0,0.5625721127700668,2.125222731805095e-13
0.0,0.5740300079207342,2.2284056753657387e-13
0.0,0.5855196493350237,2.331381754319156e-13
0.0,0.5969494453657458,2.440797067868844e-13
0.0,0.6084365590464484,2.552146570522178e-13
0.0,0.6199800903726214,2.665436083702401e-13
0.0,0.6314991444976512,2.77995009167778e-13
0.0,0.6431670303578938,2.89726447896302e-13
0.0,0.654824401922239,3.015893054568816e-13
0.0,0.666514102464451,3.136064388246407e-13
0.0,0.6782279176325112,3.257500457201743e-13
0.0,0.6899607837110655,3.380210145349589e-13
0.0,0.701701049972709,3.503555650539105e-13
0.0,0.7134501220118619,3.627543234427276e-13
0.0,0.725203207813427,3.7508455584217533e-13
0.0,0.7370228924511304,3.875436017260501e-13
0.0,0.7487984720602866,4.000104726982413e-13
0.0,0.7605521902354668,4.124745506649423e-13
0.0,0.7722848249388383,4.4067564634826453e-13
0.0,0.7839908334740172,4.5455333212817654e-13
0.0,0.7956588177983782,4.684597950249117e-13
0.0,0.807290898236599,4.822545049379631e-13
0.0,0.8189335253752159,4.959019483932844e-13
0.0,0.8304924528574643,5.093431363275717e-13
0.0,0.8423552061225413,5.231643509695524e-13
0.0,0.8536193029484136,5.360158713658109e-13
0.01,0.047098574,1.62e-15
0.01,0.052652197,1.67e-15
0.01,0.058323572,1.72e-15
0.01,0.065664379,1.79e-15
0.01,0.076965359,1.89e-15
