Vmem,tun,Energy
0,4.088281E-01,8.486030E-14
0,4.084884E-01,8.463225E-14
0,4.081551E-01,8.440869E-14
0,4.078283E-01,8.419004E-14
0,4.075084E-01,8.397583E-14
0,4.071955E-01,8.376735E-14
0,4.068898E-01,8.356379E-14
0,4.065916E-01,8.336492E-14
0,4.063010E-01,8.317090E-14
0,4.060181E-01,8.298313E-14
0,4.057433E-01,8.280087E-14
0,4.054766E-01,8.262465E-14
0,4.052183E-01,8.245373E-14
0,4.049685E-01,8.229028E-14
0,4.047274E-01,8.213108E-14
0,4.044951E-01,8.197782E-14
0,4.042717E-01,8.183066E-14
0,4.040575E-01,8.168598E-14
0,4.038525E-01,8.155117E-14
0,4.036569E-01,8.142069E-14
0,4.029005E-01,8.092680E-14
0,4.027197E-01,8.080851E-14
0,4.025487E-01,8.068985E-14
0,4.023874E-01,8.059128E-14
0,4.022360E-01,8.049247E-14
0,4.020947E-01,8.040021E-14
0,4.019633E-01,8.031458E-14
0,4.018421E-01,8.023558E-14
0,4.017311E-01,8.016326E-14
0,4.016303E-01,8.009493E-14
0,4.011098E-01,7.975742E-14
0,4.010293E-01,7.970517E-14
0,4.009592E-01,7.965810E-14
0,4.008994E-01,7.961935E-14
0,4.008501E-01,7.958734E-14
0,4.008111E-01,7.956208E-14
0,4.007825E-01,7.954355E-14
0,4.007643E-01,7.953176E-14
0,4.007565E-01,7.952670E-14
0,4.007591E-01,7.952834E-14
0,4.007709E-01,7.953601E-14
0,4.007940E-01,7.955099E-14
0,4.008274E-01,7.957261E-14
0,4.008709E-01,7.960085E-14
0,4.009246E-01,7.963567E-14
0,4.009884E-01,7.967704E-14
0,4.010622E-01,7.972651E-14
0,4.011460E-01,7.978089E-14
0,4.012396E-01,7.984170E-14
0,4.013430E-01,7.990890E-14
0,4.014561E-01,7.998244E-14
0,4.015788E-01,7.999334E-14
0,4.017110E-01,8.015017E-14
0,4.018527E-01,8.024241E-14
0,4.020036E-01,8.034076E-14
